job_key,skill
00d80147a1b5d603,Action
00d80147a1b5d603,All
00d80147a1b5d603,Read
00d80147a1b5d603,Know
00d80147a1b5d603,Your
00d80147a1b5d603,Rights
00d80147a1b5d603,Also
00d80147a1b5d603,Pay
00d80147a1b5d603,Transparency
00d80147a1b5d603,Equivalent
00d80147a1b5d603,Resumes
00d80147a1b5d603,To
00d80147a1b5d603,Careers
00d80147a1b5d603,Should
00d80147a1b5d603,Recruitingsupport
01902d8707f063a4,General
01902d8707f063a4,Summary
01902d8707f063a4,Elevate
01902d8707f063a4,The
01902d8707f063a4,Data
01902d8707f063a4,Science
01902d8707f063a4,Sr
01902d8707f063a4,Scientist
01902d8707f063a4,Primary
01902d8707f063a4,Responsibilities
01902d8707f063a4,Design
01902d8707f063a4,Manage
01902d8707f063a4,Utilize
01902d8707f063a4,SAS
01902d8707f063a4,R
01902d8707f063a4,Python
01902d8707f063a4,Help
01902d8707f063a4,Maintain
01902d8707f063a4,Wiki
01902d8707f063a4,Server
01902d8707f063a4,Rmarkdown
01902d8707f063a4,IPython
01902d8707f063a4,Jupyter
01902d8707f063a4,Notebook
01902d8707f063a4,Develop
01902d8707f063a4,Experience
01902d8707f063a4,Education
01902d8707f063a4,Minimum
01902d8707f063a4,Computer
01902d8707f063a4,Math
01902d8707f063a4,Business
01902d8707f063a4,Degree
01902d8707f063a4,Master
01902d8707f063a4,Strong
01902d8707f063a4,Microsoft
01902d8707f063a4,SQL
01902d8707f063a4,Snowflake
01902d8707f063a4,Proficiency
01902d8707f063a4,Superior
01902d8707f063a4,LI
01902d8707f063a4,Qualifications
01902d8707f063a4,Skills
01902d8707f063a4,Behaviors
01902d8707f063a4,Motivations
01902d8707f063a4,Licenses
01902d8707f063a4,Certifications
01acda57dd1ee035,About
01acda57dd1ee035,Position
01acda57dd1ee035,The
01acda57dd1ee035,Golden
01acda57dd1ee035,State
01acda57dd1ee035,Warriors
01acda57dd1ee035,Data
01acda57dd1ee035,Scientist
01acda57dd1ee035,Business
01acda57dd1ee035,Strategy
01acda57dd1ee035,Analytics
01acda57dd1ee035,In
01acda57dd1ee035,This
01acda57dd1ee035,Director
01acda57dd1ee035,Come
01acda57dd1ee035,San
01acda57dd1ee035,Francisco
01acda57dd1ee035,CA
01acda57dd1ee035,Key
01acda57dd1ee035,Responsibilities
01acda57dd1ee035,Develop
01acda57dd1ee035,Build
01acda57dd1ee035,Partner
01acda57dd1ee035,Analyze
01acda57dd1ee035,Maintain
01acda57dd1ee035,Required
01acda57dd1ee035,Experience
01acda57dd1ee035,Skills
01acda57dd1ee035,Bachelor
01acda57dd1ee035,Computer
01acda57dd1ee035,Science
01acda57dd1ee035,Minimum
01acda57dd1ee035,Expertise
01acda57dd1ee035,Python
01acda57dd1ee035,R
01acda57dd1ee035,Advanced
01acda57dd1ee035,SQL
01acda57dd1ee035,GCP
01acda57dd1ee035,ETL
01acda57dd1ee035,ELT
01acda57dd1ee035,Proficiency
01acda57dd1ee035,Microsoft
01acda57dd1ee035,Office
01acda57dd1ee035,Suite
01acda57dd1ee035,Ability
01acda57dd1ee035,Excellent
01acda57dd1ee035,Passion
01acda57dd1ee035,Pursuant
01acda57dd1ee035,Fair
01acda57dd1ee035,Chance
01acda57dd1ee035,Ordinance
01acda57dd1ee035,We
01acda57dd1ee035,Want
01acda57dd1ee035,Visit
01bc99b11ef5cfb9,You
01bc99b11ef5cfb9,Centene
01bc99b11ef5cfb9,As
01bc99b11ef5cfb9,Designs
01bc99b11ef5cfb9,Design
01bc99b11ef5cfb9,Conduct
01bc99b11ef5cfb9,Evaluate
