job_key,job_title,salary_low,salary_high,is_remote,is_intern,role,seniority,is_scientist,is_analyst,is_ml_engineer,is_research,role_unknown,is_junior,is_senior,seniority_unknown,salary_avg
job-2f18ae87825483ca,Data Science Intern,43000,54000,0,1,Scientist,None,1,0,0,0,0,0,0,1,48500.0
job-2f7577d331547bec,Associate Machine Learning Engineer (Remote),73000,92000,1,0,MLEngineer,Jr.,0,0,1,0,0,1,0,0,82500.0
job-3052cab2ca9408ad,"Data Scientist I, Risk Analytics",115360,151410,1,0,Analyst,None,0,1,0,0,0,0,0,1,133385.0
job-30ae6c0eb6c2fb40,Technology Intern- Technology Summer Internship Program,75000,90000,0,1,Unidentified,None,0,0,0,0,1,0,0,1,82500.0
job-30c2bfb3dabbd1df,Data Scientist,100984,131277,1,0,Scientist,None,1,0,0,0,0,0,0,1,116130.5
job-30f80792440292e7,"Senior Associate, Data Science (R-13261)",73000,92000,1,0,Scientist,Jr.,1,0,0,0,0,1,0,0,82500.0
job-31f050977b6b88e7,Director - Data Science,133000,168000,0,0,Scientist,Sr.,1,0,0,0,0,0,1,0,150500.0
job-3239a1fa7c5a474b,Junior Data Scientist,81000,103000,0,0,Scientist,Jr.,1,0,0,0,0,1,0,0,92000.0
job-332bb4ffd55ade85,Data Analytics Manager (Remote),210000,210000,1,0,Analyst,Sr.,0,1,0,0,0,0,1,0,210000.0
job-3366271063a2aadc,Data Scientist,105000,133000,1,0,Scientist,None,1,0,0,0,0,0,0,1,119000.0
job-33a5380c2fb99063,Data Scientist | Remote-US,91000,116000,1,0,Scientist,None,1,0,0,0,0,0,0,1,103500.0
job-33a89a95b75ac898,Data Scientist Intern,39000,50000,0,1,Scientist,None,1,0,0,0,0,0,0,1,44500.0
job-340580918cebc59a,Principal Data Scientist,138000,174000,0,0,Scientist,None,1,0,0,0,0,0,0,1,156000.0
job-34168de0afe6d03b,"Data Engineer L5, Playback",127000,161000,0,0,MLEngineer,None,0,0,1,0,0,0,0,1,144000.0
job-3438b193c2839efd,"Data Engineer, Omaha",131000,166000,0,0,MLEngineer,None,0,0,1,0,0,0,0,1,148500.0
job-344460511542411d,Senior Data Engineer (Remote),109000,138000,1,0,MLEngineer,Sr.,0,0,1,0,0,0,1,0,123500.0
job-3595d063e3084b41,Network Data Scientist,130000,180000,1,0,Scientist,None,1,0,0,0,0,0,0,1,155000.0
job-35fb9c810e340ea8,"2023 Summer (May- Aug) Intern, Data Science",40000,50000,0,1,Scientist,None,1,0,0,0,0,0,0,1,45000.0
job-375f10c6aa43360e,Senior Data Scientist,121000,153000,1,0,Scientist,Sr.,1,0,0,0,0,0,1,0,137000.0
job-378637ce972ec692,Data Scientist,120000,180000,1,0,Scientist,None,1,0,0,0,0,0,0,1,150000.0
job-380e4480b1f38d63,Data Center Specialist,30000,58000,0,0,Unidentified,None,0,0,0,0,1,0,0,1,44000.0
job-3837064918d4e5fb,Data Scientist Intern,48000,60000,0,1,Scientist,None,1,0,0,0,0,0,0,1,54000.0
job-38ae3e9b8611137d,Data Scientist,80000,80000,1,0,Scientist,None,1,0,0,0,0,0,0,1,80000.0
job-38c285cf84dd086e,Senior Data Scientist (Remote),96000,220000,1,0,Scientist,Sr.,1,0,0,0,0,0,1,0,158000.0
job-394cdda7ee2e601a,Data Science Intern (Spring),41000,52000,1,1,Scientist,None,1,0,0,0,0,0,0,1,46500.0
job-3a1eb2d5f9f0a093,Data Engineer,93000,119000,0,0,MLEngineer,None,0,0,1,0,0,0,0,1,106000.0
job-3ac8374fbb32a5bb,Data Scientist,122000,154000,1,0,Scientist,None,1,0,0,0,0,0,0,1,138000.0
job-3aecd3e9a13bbdb2,Data Scientist,92000,117000,0,0,Scientist,None,1,0,0,0,0,0,0,1,104500.0
job-3af02d93417e951c,Junior Data Scientist,55000,60000,1,1,Scientist,Jr.,1,0,0,0,0,1,0,0,57500.0
job-3bf03330105afbbe,Data Engineer,110000,110000,0,0,MLEngineer,None,0,0,1,0,0,0,0,1,110000.0
job-3c1a8f0015f73188,Data Analytics Intern,37000,47000,0,1,Analyst,None,0,1,0,0,0,0,0,1,42000.0
job-3cec83dc45f5811a,Data Scientist II,81000,104000,0,0,Scientist,None,1,0,0,0,0,0,0,1,92500.0
job-3d002937d72cdd24,Data Scientist,127000,161000,0,0,Scientist,None,1,0,0,0,0,0,0,1,144000.0
job-3d91424591cbbf79,Associate PL/SQL Data Engineer (REMOTE),50000,70000,1,0,MLEngineer,Jr.,0,0,1,0,0,1,0,0,60000.0
job-3e3d92e9d69da663,Data Science Engineer,82000,105000,0,0,MLEngineer,None,0,0,1,0,0,0,0,1,93500.0
job-3e417767f39f88ea,Human Resources Data Analyst,71000,90000,1,0,Analyst,None,0,1,0,0,0,0,0,1,80500.0
job-3f48c7f7af2fc151,Product Data Scientist,74000,94000,1,0,Scientist,None,1,0,0,0,0,0,0,1,84000.0
job-3fdc097d907cb412,Data Scientist,76000,97000,0,0,Scientist,None,1,0,0,0,0,0,0,1,86500.0
job-3fe6f55c69579156,Data Engineer I,71000,90000,1,0,MLEngineer,None,0,0,1,0,0,0,0,1,80500.0
job-4056f93fad9049d5,Data Scientist,135000,170000,1,0,Scientist,None,1,0,0,0,0,0,0,1,152500.0
job-41907f74de9bc1ed,Data Scientist,75000,85000,0,0,Scientist,None,1,0,0,0,0,0,0,1,80000.0
job-42a78e91d010b05d,Data Science Graduate,104000,131000,0,0,Scientist,None,1,0,0,0,0,0,0,1,117500.0
job-43087b7ed6a1a3b8,Data Scientist,109000,138000,1,0,Scientist,None,1,0,0,0,0,0,0,1,123500.0
job-4395b81e0521fcef,Software Engineering Intern (Machine Learning Sys) - 2023 Summer (BS/MS),67000,85000,0,1,MLEngineer,None,0,0,1,0,0,0,0,1,76000.0
job-44148c70c1a0ea67,Data Scientist,110000,120000,0,0,Scientist,None,1,0,0,0,0,0,0,1,115000.0
job-4484d7039ddfc55e,Data Scientist,90000,115000,0,0,Scientist,None,1,0,0,0,0,0,0,1,102500.0
job-45b5e683f10fab56,Data Center Engineer,90000,115000,0,0,MLEngineer,None,0,0,1,0,0,0,0,1,102500.0
job-45fd76fcba13722c,"Senior Software Engineer, Data Infra",106000,134000,0,0,MLEngineer,Sr.,0,0,1,0,0,0,1,0,120000.0
job-47a1ecd2c7c33537,Data Analyst (Remote),69000,88000,1,0,Analyst,None,0,1,0,0,0,0,0,1,78500.0
job-47fb933602ef3be4,Data Science Intern,39000,49000,0,1,Scientist,None,1,0,0,0,0,0,0,1,44000.0
job-49a72189df661f83,Lead Engineer - Data,112000,196000,1,0,MLEngineer,Sr.,0,0,1,0,0,0,1,0,154000.0
job-4ac87d68765ad235,data scientist sr- People Analytics (Remote),109000,205600,1,0,Analyst,Sr.,0,1,0,0,0,0,1,0,157300.0
