job_key,job_title,salary_low,salary_high,is_remote,job_type
job-1b2167ae36c95a44,Data Mining Scientist,0,0,Y,Full-time (i)
job-cdaea6c0b7a862fe,Data Scientist,"$59,005","$80,542",N,Full-time
job-2125271a37f60153,Research Data Scientist,$134K,$170K,Y,Full-time (i)
job-2f7577d331547bec,Associate Machine Learning Engineer (Remote),$73.3K,$92.9K,Y,Full-time
job-bb28e752879d2931,Data Science Associate,"$56,600","$75,000",N,Full-time
job-63696188778dab88,Data Scientists,$147K,$186K,Y,Full-time (i)
job-ee8702a31f28862c,Data Analytics Engineer (Remote),$90.9K,$115K,Y,Full-time
job-38c285cf84dd086e,Senior Data Scientist (Remote),"$96,000","$220,000",Y,Full-time (i)
job-d2558814f5b5cd21,Actuarial Data Scientist,"$63,100","$137,900",Y,Full-time (i)
job-18a754e619e0a423,Data Scientist,$98.6K,$125K,N,Full-time
job-c6beb8ea1be3850c,Data Scientist,$87.9K,$111K,Y,Full-time
job-ad5eff59731c5c4b,Climate Data Scientist,$121K,$154K,Y,Full-time (i)
job-1b6c11f7e66985e0,Junior Data Scientist (US - East Coast),$63.4K,$80.3K,N,Full-time
job-8d401996888d5d4f,Lead manager data science – People Analytics,0,0,N,Full-time
job-e58da802b5f4510c,Data Associate – Data Visualization Specialist,$53.8K,$68.1K,Y,Full-time
job-9aad7c98c1e7d985,Data Scientist,0,0,N,Full-time (i)
job-bfb1470297443699,Data Scientist,"$90,000","$130,000",Y,Full-time
job-23eaf853901b8974,Data Science & Analytics Development Program 2023a,$80.2K,$102K,N,Full-time (i)
job-8f1c66141dd55313,Data Scientist,0,0,N,Full-time (i)
job-d64ff40da25d604a,"Data Scientist- TikTok Ads, Ads Targeting, Auction and Delivery",$132K,$167K,N,Full-time (i)
job-089d31b5fc826ce2,Data Scientist and Visualization Developer,"$110,000","$140,000",N,Full-time
job-fda3db668b886829,Data Scientist (Remote),$120K,$151K,Y,Full-time
job-41907f74de9bc1ed,Data Scientist,"$75,000","$85,000",N,Full-time
job-d641fca9c1f31499,Lead Engineer - Data Science,"$96,000","$168,000",Y,Full-time (i)
job-1c971fa15a15e993,Data Engineer,$90.7K,$115K,N,Contract
job-a3c7f5701045c70c,Data Scientist,$137K,$173K,Y,Full-time (i)
job-d318e297ed79ca51,Data & Applied Scientist,0,0,N,Full-time
job-61f4d2dc654ef64e,Simulation Data Scientist,$106K,$134K,N,Full-time
job-7ebecd9260532e3e,Jr. Data Engineer I,$71.1K,$90.1K,Y,Full-time (i)
job-b97ac176c799ad23,Machine Learning Research Assistant,"$7,000","$7,000",Y,Full-time
job-66b4fc49942d9045,Data Scientist,$90.3K,$114K,N,Full-time
job-9ace76b37f6ccf19,Research Data Scientist,$76.4K,$96.8K,N,Full-time
job-0072004f2d3180a4,Data Scientist (Remote),"$96,000","$220,000",Y,Full-time (i)
job-5f1103ebd513c781,Data Scientist - Evernorth,"$95,800","$159,600",N,Full-time
job-d42a40a11d675cc9,Data Scientist [NYC],$103K,$131K,N,Full-time (i)
job-95c90b9c7a8c7b77,Senior AI Data Scientist,"$133,800","$220,700",N,Full-time
job-15b6732e63ee8188,Head of Data Science,"$190,000","$260,000",Y,Full-time (i)
job-a98c1cfbaa8f478e,Data Science Teacher,"$120,000","$500,000",N,Full-time
job-f0d02935a4686b0f,Staff Data Scientist,"$176,634","$176,634",Y,Full-time
job-4ac87d68765ad235,data scientist sr- People Analytics (Remote),"$109,000","$205,600",Y,Full-time
job-8a0aab5c1d1132e7,Data Scientist,$114K,$144K,Y,Contract
job-260b91c2b4825639,Data Scientist,$84.8K,$107K,N,Full-time
job-d643695fb61eb16f,Data Scientist - Entry Level,$75.1K,$95.1K,N,Full-time
job-53d77b995977b2d2,Data Scientist II,$86.5K,$110K,N,Full-time
job-8c1e1ac097dc7048,Data Scientist,$103K,$131K,Y,Full-time
job-bb82cc4bd24064dd,Data Engineer,$109K,$138K,Y,Full-time (i)
job-6c438a620e58f2a5,Data Analyst,$73.1K,$92.6K,N,Full-time
job-7563544e5dc35887,Data Scientist,"$100,000","$140,000",Y,Full-time (i)
job-629e89007cef06c0,Data Scientist,$90.4K,$115K,N,Full-time (i)
job-0f5c5e6c57cc4200,Data Science Analyst I or II,$63.8K,$80.7K,N,Full-time
job-d5c16ce64f854ef0,Data Scientist,$89.6K,$113K,N,Full-time
job-340580918cebc59a,Principal Data Scientist,$138K,$174K,N,Full-time
job-3595d063e3084b41,Network Data Scientist,"$130,000","$180,000",Y,Full-time (i)
job-709cadec36abd6e0,Backend Staff Data Engineer,"$160,000","$195,000",Y,Full-time
job-8ab41096cb3c3264,Data Scientist,$75,$75,Y,Full-time (i)
job-bcc6de54e0095d2e,"Data Scientist, Special Initiatives",$135K,$171K,Y,Full-time (i)
job-92ce6b6f3da1495f,Data Science Bootcamp Teaching Assistant (Virtual/Remote),$38.2K,$48.3K,Y,Part-time
job-3e417767f39f88ea,Human Resources Data Analyst,$71.1K,$90K,Y,Full-time (i)
job-96d73266b1677e7f,Data Scientist,$97.7K,$124K,Y,Full-time (i)
job-0f39f4097013f08c,"Data Scientist IV, Utility Reliability - REMOTE","$119,900","$159,500",N,Full-time
job-b0a92f7d684f0cdc,Data Scientist,$124K,$157K,Y,Contract
job-5741a4dbbe15cade,Sr. Data Analyst,$82.4K,$104K,N,Full-time
job-48f7a92af23648f4,Data Scientist I,0,0,N,Full-time (i)
job-defcdef6accd6f19,Data Scientist (Level I - II),$72.2K,$91.5K,N,Full-time (i)
job-1292d743fbc2f949,Data Engineer/Data Scientist,"$100,000","$180,000",Y,Full-time
job-08695ea0b6747b80,"Data Analyst, Global Public Policy",0,0,N,Full-time (i)
job-6479652b6d6e0b48,Data Analyst,$79.6K,$101K,N,Full-time (i)
job-06e65096698ac9c5,(Remote) Data Scientist - Rockefeller Neuroscience Institute,$59.9K,$75.8K,Y,Full-time
job-20df28fa224fe0b6,Senior Data Analyst,"$115,000","$250,000",Y,Full-time (i)
job-2ef2433a09309f54,Data Scientist,$93.4K,$118K,N,Full-time
job-699cc993187fff79,Data Science / Data Analyst - Early Career,0,0,N,Full-time (i)
job-dd35b07bed340dcb,Quantitative Researcher – Graduate,0,0,N,Full-time (i)
job-6d8750c50840b014,Data Scientist,$113K,$143K,Y,Full-time
