job_key,job_title,salary_low,salary_high,is_remote,job_type,is_intern,salary_avg,role,seniority
job-4fbc17578ef9deb3,2023 Entry Level Associate Data Engineer: Advanced Analytics,47600,65450,N,Full-time,0,56525.0,analyst,jr
job-4fcc331f991d0b4d,Data Scientist & Statistician,0,0,N,Full-time,0,0.0,scientist,unknown
job-4ffe847b64625669,Data Science Intern - Summer 2023,50000,64000,N,Internship,1,57000.0,scientist,unknown
job-50387d446166e1d0,ArborCount Data Technician,57000,72000,Y,Full-time (i),0,64500.0,unknown,unknown
job-5062462d0a68c093,Data Scientist,0,0,N,Full-time,0,0.0,scientist,unknown
job-50bda7b9d0d3a40b,Data Scientist,101000,127000,N,Full-time (i),0,114000.0,scientist,unknown
job-50f4e61f49824e55,Koch Minerals & Trading Data Scientist Intern – Summer 2023,0,0,N,Full-time,1,0.0,scientist,unknown
job-50fc6373c08e9d19,Data Labeler,82000,105000,N,Full-time (i),0,93500.0,unknown,unknown
job-517757c5ec64f8d3,"ENGINEER, DATA",99583,115484,N,Full-time,0,107533.5,engineer,unknown
job-51a9496d787b39c0,Biomedical Data Scientist - Health Technologies,0,0,N,Full-time,0,0.0,scientist,unknown
job-530460f870702843,Data Analyst,80000,102000,Y,Full-time,0,91000.0,analyst,unknown
job-531423f49f143100,Crime Analyst / Intelligence Analyst,0,0,N,Full-time (i),0,0.0,analyst,unknown
job-531b5517998bb48e,Intern - Data Engineer (Spring 2023),47000,59000,N,Part-time,1,53000.0,engineer,unknown
job-53567abfbe7b88f8,Data Engineer,99400,99400,N,Full-time,0,99400.0,engineer,unknown
job-5380c423310a0508,Co-op / Intern - Data Science,0,0,N,Full-time,1,0.0,scientist,unknown
job-53d77b995977b2d2,Data Scientist II,86000,110000,N,Full-time,0,98000.0,scientist,unknown
job-54bf2be3f86d76fd,Data Scientist,120000,151000,N,Full-time,0,135500.0,scientist,unknown
job-54db6aa73c78afa1,Data Scientist,83000,106000,N,Full-time,0,94500.0,scientist,unknown
job-563bf8ee3692e34f,HPC and Data Science Intern,45000,57000,Y,Internship,1,51000.0,scientist,unknown
job-56e03cc91fff1752,Product Data Scientist,0,0,N,Full-time (i),0,0.0,scientist,unknown
job-57161b6c7ee09743,Jr. Data Scientist,99000,126000,N,Full-time,0,112500.0,scientist,jr
job-5741a4dbbe15cade,Sr. Data Analyst,82000,104000,N,Full-time,0,93000.0,analyst,sr
job-575667043de017a1,Staff Data Scientist,132000,168000,Y,Full-time,0,150000.0,scientist,unknown
job-57eeed64565f41dd,Data Engineer,79000,101000,N,Full-time (i),0,90000.0,engineer,unknown
job-57f034099065b744,Data Visualization Engineer,67200,90000,N,Full-time,0,78600.0,engineer,unknown
job-580823e64df3a742,EDI Data Engineer,69000,87000,N,Full-time,0,78000.0,engineer,unknown
job-58a24e7053634e51,Healthcare Data Analyst,50000,114000,Y,Full-time,0,82000.0,analyst,unknown
job-593fd83ee1b247d3,Data Science Intern,44000,55000,N,Full-time,1,49500.0,scientist,unknown
job-5a56ac5aae1f0b21,Data Science Intern,51000,65000,N,Internship,1,58000.0,scientist,unknown
job-5a88ee3cd95fca6d,NYL Data Scientist/Statistician Internship,40,40,Y,Internship,1,40.0,scientist,unknown
job-5af8b0c701ca7aaa,Intern,35000,44000,N,Full-time,1,39500.0,unknown,unknown
job-5b256331cda99c7e,Data Scientist,99000,126000,N,Full-time,0,112500.0,scientist,unknown
job-5bcdf819a19dde12,2023 University Graduate - Data Scientist,0,0,N,Full-time,0,0.0,scientist,unknown
job-5c05bbcec4ccad75,Speech Recognition Data Labeler (Contract),450,650,Y,Contract,0,550.0,unknown,unknown
job-5c4cc0a38cc4fd1c,Data Scientist 3,92000,117000,N,Full-time,0,104500.0,scientist,unknown
job-5d7fcd1854c2e58f,Data Engineer,95000,105000,Y,Full-time,0,100000.0,engineer,unknown
job-5e0c6a65cfc80c07,Data Engineer,100000,127000,N,Full-time (i),0,113500.0,engineer,unknown
job-5e43521f75fcad23,Data Engineer,135000,155000,Y,Full-time (i),0,145000.0,engineer,unknown
job-5eaa1f0b29171fa8,Data Science Co-Op,94000,119000,N,Full-time (i),1,106500.0,scientist,unknown
job-5f1103ebd513c781,Data Scientist - Evernorth,95800,159600,N,Full-time,0,127700.0,scientist,unknown
job-5fb709ded0d09899,Data Scientist – Biosensor Analytics,106000,134000,Y,Full-time (i),0,120000.0,analyst,unknown
job-5fff07e6e2b3e0b1,"Data Strategy, Data Scientist – Equity Research",100000,110000,N,Full-time,0,105000.0,scientist,unknown
job-6016a05f12103626,Jr. Data Scientist,63000,80000,N,Full-time,0,71500.0,scientist,jr
job-60eddabd88d0e17a,Data Scientist II,39,39,Y,Full-time,0,39.0,scientist,unknown
job-61f4d2dc654ef64e,Simulation Data Scientist,106000,134000,N,Full-time,0,120000.0,scientist,unknown
job-61fd4729942080a0,"Engineer, Data (JetBlue Travel Products)",98000,125000,N,Full-time (i),0,111500.0,engineer,unknown
job-6231f03d5cd6a347,"Data Science Intern, 2023 Summer U.S.",48000,60000,N,Internship,1,54000.0,scientist,unknown
job-625bf4aed6e75fbb,Intern - Data Scientist,45000,58000,Y,Internship,1,51500.0,scientist,unknown
job-62753bd28b0589dc,Data Engineer (Remote worldwide),155500,155500,Y,Full-time,0,155500.0,engineer,unknown
job-629cb3acc17b00de,Data Scientist (Contract),96000,122000,N,Contract,0,109000.0,scientist,unknown
job-629e89007cef06c0,Data Scientist,90000,115000,N,Full-time (i),0,102500.0,scientist,unknown
job-62b7ce96500f5adf,Data Scientist,101000,127000,N,Full-time (i),0,114000.0,scientist,unknown
job-62bd43ec8c8768ae,Data Analyst,93000,118000,Y,Contract,0,105500.0,analyst,unknown
job-62d677313cb6093d,Data Science Intern at UIUC Research Park - Spring 2023,32000,40000,N,Internship,1,36000.0,scientist,unknown
job-63696188778dab88,Data Scientists,147000,186000,Y,Full-time (i),0,166500.0,scientist,unknown
job-63bec62e3fe37cef,Data Scientist - Marketing,0,0,Y,Full-time,0,0.0,scientist,unknown
job-63fb58456f70e5b1,Data Scientist,101000,128000,N,Full-time,0,114500.0,scientist,unknown
job-64224ed0c4491e35,Data Science - Graduate Intern.,0,0,N,Part-time,1,0.0,scientist,unknown
job-64766bc3a13bfb4a,Data Scientist (Remote),127000,161000,Y,Full-time,0,144000.0,scientist,unknown
job-6479652b6d6e0b48,Data Analyst,79000,101000,N,Full-time (i),0,90000.0,analyst,unknown
job-65814a901d49f6f0,Data Analyst Intern,33000,42000,N,Internship,1,37500.0,analyst,unknown
job-661c38189327f80f,Data Scientist,82000,105000,N,Full-time,0,93500.0,scientist,unknown
job-66b4fc49942d9045,Data Scientist,90000,114000,N,Full-time,0,102000.0,scientist,unknown
job-67037e14b564d5f5,Data Scientist,105000,133000,N,Full-time,0,119000.0,scientist,unknown
job-673cc98e25a8d226,Data Officer,114000,145000,N,Full-time,0,129500.0,unknown,unknown
job-678f1f56ecb9b876,Data Scientist,0,0,N,Full-time (i),0,0.0,scientist,unknown
job-691fbf2482f56d85,Machine Learning Engineer,97000,123000,N,Full-time (i),0,110000.0,engineer,unknown
job-699cc993187fff79,Data Science / Data Analyst - Early Career,0,0,N,Full-time (i),0,0.0,analyst,unknown
job-69f183ce26037aa3,Intern - DRAM Quality Data Analytics,38000,48000,N,Internship,1,43000.0,analyst,unknown
